id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price,age,price_per_sqrt,swimming_ful,garden
1,Viman Nagar,1521,1,1,2016,No,4315847,9,2837.506246,No,No
2,Kalyani Nagar,2957,1,2,2003,Yes,12861115,22,4349.379439,Yes,Yes
3,Pimpri-Chinchwad,2816,3,2,1993,No,8615274,32,3059.401278,No,Yes
4,Kalyani Nagar,2869,3,1,2000,Yes,5360008,25,1868.249564,No,Yes
5,Kalyani Nagar,1285,3,3,2012,No,6412778,13,4990.488716,No,Yes
6,Hinjewadi,1171,1,3,2013,No,5405787,12,4616.385141,No,Yes
7,Pimpri-Chinchwad,2602,4,2,2019,Yes,9289185,6,3570.017294,No,Yes
8,Pimpri-Chinchwad,1997,4,3,1995,Yes,12102698,30,6060.439659,Yes,Yes
9,Pimpri-Chinchwad,2982,5,1,2006,Yes,9982144,19,3347.46613,No,Yes
10,Kalyani Nagar,1079,1,3,2003,No,4569237,22,4234.696015,No,No
11,Viman Nagar,1959,3,2,1990,Yes,12105141,35,6179.245023,Yes,Yes
12,Pimpri-Chinchwad,1067,1,3,1986,No,5849347,39,5482.049672,No,Yes
13,Kalyani Nagar,1193,3,3,1984,Yes,4998729,41,4190.049455,No,No
14,Hinjewadi,1194,1,1,2009,Yes,12136027,16,10164.17672,Yes,Yes
15,Viman Nagar,2739,2,2,2022,No,7908901,3,2887.514056,No,Yes
16,Hinjewadi,1077,2,1,1983,Yes,3852581,42,3577.141133,No,No
17,Viman Nagar,2869,4,1,1983,Yes,11682433,42,4071.952945,Yes,Yes
18,Kalyani Nagar,2632,3,2,1993,No,13874784,32,5271.574468,Yes,Yes
19,Koregaon Park,2903,2,2,1992,Yes,6855141,33,2361.398898,No,Yes
20,Viman Nagar,1947,3,1,1984,Yes,9760819,41,5013.260914,No,Yes
21,Hinjewadi,834,1,1,2003,No,11269406,22,13512.47722,Yes,Yes
22,Kalyani Nagar,2095,3,2,1987,No,6463631,38,3085.265394,No,Yes
23,Viman Nagar,1457,4,2,2014,Yes,2176711,11,1493.967742,No,No
24,Koregaon Park,3244,1,1,2014,Yes,9438192,11,2909.430333,No,Yes
25,Koregaon Park,821,5,3,1981,Yes,5658896,44,6892.686967,No,Yes
26,Pimpri-Chinchwad,2856,4,1,1990,Yes,11955422,35,4186.072129,Yes,Yes
27,Pimpri-Chinchwad,1678,1,3,1995,No,14623759,30,8714.993445,Yes,Yes
28,Hinjewadi,2216,5,1,2015,No,13962886,10,6300.941336,Yes,Yes
29,Viman Nagar,1841,1,1,2017,No,6523059,8,3543.2151,No,Yes
30,Viman Nagar,1036,4,2,1994,Yes,2682846,31,2589.619691,No,No
31,Pimpri-Chinchwad,1503,2,1,2018,No,6275176,7,4175.100466,No,Yes
32,Viman Nagar,2117,1,3,2018,Yes,3836638,7,1812.29948,No,No
33,Viman Nagar,2688,4,2,1990,No,6533464,35,2430.604167,No,Yes
34,Koregaon Park,2519,5,3,1986,Yes,8959259,39,3556.672886,No,Yes
35,Pimpri-Chinchwad,1419,5,3,1995,Yes,6207573,30,4374.610994,No,Yes
36,Kalyani Nagar,2927,3,3,2006,No,6681381,19,2282.672019,No,Yes
